YEAR,MONTH,TYPE,TC NAME,PAR BEG,PAR END,MSW
2020,5,TY,AMBO,5/10/2020,5/17/2020,155
2020,6,TS,BUTCHOY,6/11/2020,6/12/2020,65
2020,7,TD,CARINA,7/13/2020,7/14/2020,45
2020,7,STS,DINDO,7/31/2020,8/3/2020,95
2020,8,TS,ENTENG,8/8/2020,8/9/2020,75
2020,8,TD,FERDIE,8/9/2020,8/10/2020,55
2020,8,TD,GENER,8/13/2020,8/13/2020,45
2020,8,TD,HELEN,8/17/2020,8/18/2020,45
2020,8,STS,IGME,8/21/2020,8/22/2020,100
2020,8,TY,JULIAN,8/28/2020,8/31/2020,150
2020,9,STY,KRISTINE,9/4/2020,9/5/2020,195
2020,9,TS,LEON,9/15/2020,9/17/2020,85
2020,9,TD,MARCE,9/20/2020,9/21/2020,55
2020,10,TD,NIKA,10/11/2020,10/12/2020,55
2020,10,TD,OFEL,10/13/2020,10/16/2020,45
2020,10,TY,PEPITO,10/19/2020,10/22/2020,120
2020,10,TY,QUINTA,10/23/2020,10/27/2020,150
2020,10,STY,ROLLY,10/29/2020,11/3/2020,225
2020,11,STS,SIONY,11/1/2020,11/7/2020,100
2020,11,TS,TONYO,11/7/2020,11/9/2020,65
2020,11,TY,ULYSSES,11/8/2020,11/13/2020,155
2020,12,TS,VICKY,12/18/2020,12/21/2020,65
2021,2,STS,AURING,2/17/2021,2/22/2021,95
2021,4,STY,BISING,4/16/2021,4/25/2021,215
2021,5,TS,CRISING,5/13/2021,5/14/2021,65
2021,5,TS,DANTE,5/30/2021,6/5/2021,75
2021,7,TD,EMONG,7/4/2021,7/6/2021,55
2021,7,TY,FABIAN,7/16/2021,7/23/2021,150
2021,8,TD,GORIO,8/4/2021,8/4/2021,45
2021,8,TS,HUANING,8/7/2021,8/7/2021,65
2021,8,STS,ISANG,8/19/2021,8/22/2021,95
2021,9,TY,JOLINA,9/6/2021,9/9/2021,120
2021,9,STY,KIKO,9/7/2021,9/12/2021,215
2021,10,TD,LANNIE,10/4/2021,10/6/2021,45
2021,10,STS,MARING,10/7/2021,10/12/2021,100
2021,10,TD,NANDO,10/8/2021,10/9/2021,55
2021,12,STY,ODETTE,12/14/2021,12/18/2021,195
2022,4,TS,AGATON,4/9/2022,4/12/2022,75
2022,4,TY,BASYANG,4/12/2022,4/12/2022,120
2022,6,TD,CALOY,6/28/2022,6/30/2022,55
2022,6,TS,DOMENG,6/30/2022,7/2/2022,85
2022,7,TD,ESTER,7/29/2022,7/31/2022,45
2022,8,STS,FLORITA,8/21/2022,8/24/2022,110
2022,8,TD,GARDO,8/30/2022,9/1/2022,55
2022,8,STY,HENRY,8/31/2022,9/4/2022,195
2022,9,TY,INDAY,9/7/2022,9/13/2022,165
2022,9,STY,JOSIE,9/16/2022,9/16/2022,185
2022,9,STY,KARDING,9/22/2022,9/26/2022,195
2022,9,STS,LUIS,9/28/2022,9/29/2022,100
2022,10,TD,MAYMAY,10/10/2022,10/12/2022,45
2022,10,TY,NENENG,10/13/2022,10/16/2022,120
2022,10,TD,OBET,10/19/2022,10/22/2022,55
2022,10,STS,PAENG,10/26/2022,10/31/2022,110
2022,10,TS,QUEENIE,10/31/2022,11/1/2022,65
2022,12,TS,ROSAL,12/10/2022,12/13/2022,85
2023,4,TD,AMANG,4/11/2023,4/13/2023,55
2023,5,STY,BETTY,5/27/2023,6/1/2023,195
2023,6,TY,CHEDENG,6/6/2023,6/11/2023,150
2023,7,TS,DODONG,7/13/2023,7/15/2023,65
2023,7,STY,EGAY,7/21/2023,7/27/2023,185
2023,7,TY,FALCON,7/29/2023,8/1/2023,175
2023,8,STY,GORING,8/24/2023,8/30/2023,195
2023,8,TY,HANNA,8/30/2023,9/4/2023,155
2023,9,TD,INENG,9/5/2023,9/6/2023,55
2023,9,TY,JENNY,9/29/2023,10/6/2023,175
2023,12,TS,KABAYAN,12/17/2023,12/18/2023,65
2024,5,TY,AGHON,5/24/2024,5/29/2024,140
2024,7,TD,BUTCHOY,7/19/2024,7/20/2024,55
2024,7,STY,CARINA,7/19/2024,7/25/2024,185
2024,8,TS,DINDO,8/18/2024,8/19/2024,65
2024,9,STS,ENTENG,9/1/2024,9/4/2024,100
2024,9,TS,FERDIE,9/13/2024,9/14/2024,65
2024,9,TD,GENER,9/16/2024,9/18/2024,55
2024,9,TS,HELEN,9/17/2024,9/18/2024,85
2024,9,TD,IGME,9/20/2024,9/21/2024,55
2024,9,STY,JULIAN,9/26/2024,10/4/2024,195
2024,10,STS,KRISTINE,10/21/2024,10/25/2024,95
2024,10,STY,LEON,10/26/2024,11/1/2024,195
2024,11,TY,MARCE,11/3/2024,11/8/2024,175
2024,11,TY,NIKA,11/9/2024,11/12/2024,130
2024,11,STY,OFEL,11/12/2024,11/15/2024,185
2024,11,STY,PEPITO,11/14/2024,11/18/2024,195
2024,12,TD,QUERUBIN,12/17/2024,12/18/2024,55
2024,12,TD,ROMINA,12/22/2024,12/23/2024,70
