Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Type,Category,Nearest_Station,Station_Province,Distance_km,Max_24hr_Rainfall_mm,Total_Storm_Rainfall_mm,Min_Pressure_hPa,Max_Sustained_Wind_kph,Duration_in_PAR_Hours
BETTY,2023,2,BATANES,BASCO,3608,11120,6,0,0,0,0,0,0,3608,2646179.36,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,2.497503561,,,,,133
BETTY,2023,2,BATANES,ITBAYAT,968,3028,5,0,0,0,0,0,0,966,494592,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],ITBAYAT,BATANES,3.204942957,,,,,133
BETTY,2023,2,BATANES,IVANA,444,1532,4,0,0,0,0,0,0,444,227328,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,9.470553732,,,,,133
BETTY,2023,2,BATANES,MAHATAO,575,1792,4,0,0,0,0,0,0,575,291082.96,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,4.890815627,,,,,133
BETTY,2023,2,BATANES,SABTANG,575,1955,6,0,0,0,0,0,0,575,296521.75,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,19.89123103,,,,,133
BETTY,2023,2,BATANES,UYUGAN,433,1464,4,0,0,0,0,0,0,433,294400,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,8.644080692,,,,,133
HENRY,2022,2,BATANES,BASCO,2,10,1,0,0,0,0,0,0,0,0,,,BASCO,BATANES,2.497503561,,,,,80.2
JENNY,2023,2,BATANES,BASCO,1,1,1,0,0,0,0,0,0,0,783.93,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,2.497503561,,,,,146.7
JENNY,2023,2,BATANES,ITBAYAT,6,20,2,0,0,0,0,0,0,6,3072,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],ITBAYAT,BATANES,3.204942957,,,,,146.7
JENNY,2023,2,BATANES,SABTANG,0,139,4,0,0,0,0,0,0,66,51739.38,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,19.89123103,,,,,146.7
KIKO,2021,2,BATANES,BASCO,3043,10656,6,0,0,0,171,1247,1418,5166,13757200,"['FAMILY FOOD PACK', 'FINANCIAL']","['FAMILY FOOD PACK', 'FINANCIAL / SOCIAL ASSISTANCE']",BASCO,BATANES,2.497503561,,,,,116
KIKO,2021,2,BATANES,ITBAYAT,977,2985,5,0,0,0,11,174,185,977,488500,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],ITBAYAT,BATANES,3.204942957,,,,,116
