Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Type,Category,Nearest_Station,Station_Province,Distance_km,Max_24hr_Rainfall_mm,Total_Storm_Rainfall_mm,Min_Pressure_hPa,Max_Sustained_Wind_kph,Duration_in_PAR_Hours,PAR_START,PAR_END,DURATION_HOURS,MSW,weather_records_found,typhoon_duration_days,weather_missing,Extreme_24hr_Rainfall_mm,Lowest_Pressure_hPa,Strongest_Wind_kph
BETTY,2023,2,BATANES,BASCO,3608.0,11120.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3608.0,2646179.36,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,2.4975035611784056,,39.0,,,133.0,2023-05-27,2023-06-01,120.0,195,6,6,0,25.6,977.1,64.8
BETTY,2023,2,BATANES,ITBAYAT,968.0,3028.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,494592.0,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],ITBAYAT,BATANES,3.204942956938694,,32.71,,,133.0,2023-05-27,2023-06-01,120.0,195,6,6,0,20.3,1000.5,39.6
BETTY,2023,2,BATANES,IVANA,444.0,1532.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,227328.0,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,9.47055373163546,,39.0,,,133.0,2023-05-27,2023-06-01,120.0,195,6,6,0,25.6,977.1,64.8
BETTY,2023,2,BATANES,MAHATAO,575.0,1792.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,291082.96,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,4.890815626515307,,39.0,,,133.0,2023-05-27,2023-06-01,120.0,195,6,6,0,25.6,977.1,64.8
BETTY,2023,2,BATANES,SABTANG,575.0,1955.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,296521.75,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,19.89123103245572,,39.0,,,133.0,2023-05-27,2023-06-01,120.0,195,6,6,0,25.6,977.1,64.8
BETTY,2023,2,BATANES,UYUGAN,433.0,1464.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,294400.0,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,8.64408069177196,,39.0,,,133.0,2023-05-27,2023-06-01,120.0,195,6,6,0,25.6,977.1,64.8
HENRY,2022,2,BATANES,BASCO,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,BASCO,BATANES,2.4975035611784056,,139.60000000000002,,,80.2,2022-08-31,2022-09-04,96.0,195,5,5,0,85.4,994.2,43.2
JENNY,2023,2,BATANES,BASCO,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.93,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,2.4975035611784056,,224.20000000000002,,,146.7,2023-09-29,2023-10-06,168.0,175,8,8,0,134.0,998.9,43.2
JENNY,2023,2,BATANES,ITBAYAT,6.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3072.0,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],ITBAYAT,BATANES,3.204942956938694,,355.79999999999995,,,146.7,2023-09-29,2023-10-06,168.0,175,8,8,0,273.0,1000.6,36.0
JENNY,2023,2,BATANES,SABTANG,0.0,139.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,51739.38,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,19.89123103245572,,224.20000000000002,,,146.7,2023-09-29,2023-10-06,168.0,175,8,8,0,134.0,998.9,43.2
