Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Type,Category,Nearest_Station,Station_Province,Distance_km,Max_24hr_Rainfall_mm,Total_Storm_Rainfall_mm,Min_Pressure_hPa,Max_Sustained_Wind_kph,Duration_in_PAR_Hours
BETTY,2023,2,BATANES,BASCO,3608.0,11120.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3608.0,2646179.36,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,2.4975035611784056,112.36203565420875,249.9889768715172,955.4908809920571,125.49510602549569,133.0
BETTY,2023,2,BATANES,ITBAYAT,968.0,3028.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,494592.0,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],ITBAYAT,BATANES,3.204942956938694,285.21429192297484,372.73491673405323,945.7161388506823,142.5104315231459,133.0
BETTY,2023,2,BATANES,IVANA,444.0,1532.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,227328.0,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,9.47055373163546,219.59818254342153,270.53230695263176,898.730242181716,82.11017800748576,133.0
BETTY,2023,2,BATANES,MAHATAO,575.0,1792.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,291082.96,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,4.890815626515307,179.59754525911097,347.7718611442955,961.1198031187677,95.94971140985989,133.0
BETTY,2023,2,BATANES,SABTANG,575.0,1955.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,296521.75,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,19.89123103245572,46.80559213273096,54.49086192519596,915.5732543219003,40.872084861423936,133.0
BETTY,2023,2,BATANES,UYUGAN,433.0,1464.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,294400.0,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,8.64408069177196,46.798356100860794,227.15075452794548,943.4184614107216,92.77274812262013,133.0
HENRY,2022,2,BATANES,BASCO,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,BASCO,BATANES,2.4975035611784056,17.42508365045984,109.72057657540667,890.6954021560181,251.9740254513306,80.2
JENNY,2023,2,BATANES,BASCO,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.93,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,2.4975035611784056,259.85284373248055,387.2931390941366,939.745927437771,246.7297716013956,146.7
JENNY,2023,2,BATANES,ITBAYAT,6.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3072.0,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],ITBAYAT,BATANES,3.204942956938694,180.33450352296265,312.2052879641192,919.8402508455666,100.3707896328764,146.7
JENNY,2023,2,BATANES,SABTANG,0.0,139.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,51739.38,['FAMILY FOOD PACK'],['FAMILY FOOD PACK'],BASCO,BATANES,19.89123103245572,212.42177333881364,391.4453214801209,986.9095574540961,157.0049447069028,146.7
KIKO,2021,2,BATANES,BASCO,3043.0,10656.0,6.0,0.0,0.0,0.0,171.0,1247.0,1418.0,5166.0,13757200.0,"['FAMILY FOOD PACK', 'FINANCIAL']","['FAMILY FOOD PACK', 'FINANCIAL / SOCIAL ASSISTANCE']",BASCO,BATANES,2.4975035611784056,6.175348288740734,133.5092847221822,887.4072345096579,238.30289386662665,116.0
